Actual,Predicted
25,23.695644
27,24.76441
13,23.032633
13,17.857912
41,23.227545
41,24.807545
13,18.440817
13,22.611567
12,19.590206
23,25.092426
100,22.611567
12,20.794582
12,13.791997
11,13.791997
21,22.573463
50,22.573463
50,24.723183
12,23.393435
53,22.573463
33,17.531044
21,22.55497
50,24.537636
47,22.55497
45,19.679775
20,24.76441
36,23.695644
26,19.427385
20,21.458261
21,24.76441
31,23.032633
11,16.450102
15,24.023682
15,24.023682
13,23.227545
13,20.419046
22,24.267443
22,21.22315
82,24.982777
19,20.486944
18,21.983505
20,21.983505
17,20.495497
15,19.421362
15,19.421362
16,19.833622
16,25.167265
20,21.748953
12,19.658379
11,22.611567
13,22.611567
23,18.02327
11,22.611567
17,20.449017
13,19.878222
18,21.530626
11,19.199993
43,21.981386
25,22.167976
12,22.573463
12,20.941418
14,22.55497
15,24.553764
12,24.553764
23,22.204744
17,16.55226
26,23.695644
12,22.574352
36,21.313364
23,23.032633
17,16.214996
20,17.094883
12,16.960562
23,23.227545
24,20.962494
25,20.962494
25,20.962494
12,20.50984
16,20.962494
40,22.611567
11,21.88804
52,22.611567
52,22.611567
53,22.611567
17,20.49647
53,22.611567
53,22.611567
20,20.49647
53,22.611567
25,21.486862
12,16.00488
25,19.843903
17,20.228773
11,18.323774
17,18.049658
17,24.233273
25,17.14266
11,20.103767
20,20.369446
15,19.621038
19,22.580704
12,12.944725
11,23.615992
15,23.695644
20,15.457582
16,22.65571
12,19.71418
12,23.032633
12,23.227545
60,25.167265
17,18.68542
12,20.074142
62,22.500563
13,15.6119175
30,20.439978
27,22.912043
13,21.261433
14,21.261433
21,19.946203
16,22.513079
27,19.181122
14,22.513079
21,22.513079
21,23.335096
16,22.568884
22,19.678204
20,22.568884
16,19.09598
22,19.574799
16,23.843033
100,25.084229
26,17.178003
28,23.710234
13,14.9645815
12,15.250204
19,19.750753
22,21.760607
60,24.334305
20,19.474756
54,23.241829
22,22.40853
11,19.474756
11,19.328913
20,19.400053
45,22.42351
45,22.42351
33,28.336187
19,20.428465
16,23.3134
20,21.25596
25,22.140661
22,22.140661
26,17.50069
12,19.817833
15,22.912043
25,22.19199
100,22.912043
84,22.568884
13,17.317505
11,17.178003
16,23.710234
11,23.710234
12,19.726416
46,19.643072
20,19.750753
12,23.04683
15,24.334305
13,20.22698
30,24.792074
81,25.219667
30,20.428465
15,20.47449
11,21.25596
11,18.151192
12,17.524954
11,21.25596
22,20.185204
13,21.261433
11,16.931639
11,22.697239
32,25.630451
11,15.650305
11,17.682575
18,19.92469
11,23.710234
12,19.873886
30,23.710234
30,23.710234
29,23.710234
40,24.792074
31,20.730997
30,19.611485
20,19.729282
15,21.59387
17,24.637112
20,23.3134
34,20.43851
40,25.906385
12,20.462492
36,21.252623
30,17.144909
14,22.568884
28,19.92469
15,19.349417
20,23.710234
14,23.04683
42,23.04683
17,18.455427
12,18.595886
20,24.706207
12,23.129755
20,21.472456
15,18.026327
20,23.3134
30,20.347488
16,19.059593
12,19.059593
11,18.498526
16,17.596544
12,25.086834
38,22.267462
55,24.981401
20,17.621262
74,24.106928
92,24.106928
20,22.613194
28,17.732012
12,20.157013
28,23.8819
12,20.44664
44,25.253683
13,24.274414
13,24.662704
11,18.505486
40,21.385672
45,25.088152
25,24.513708
15,22.397264
20,18.666739
20,24.533144
17,23.8819
50,23.697506
37,26.976326
76,25.086834
12,19.008099
15,24.161207
22,24.043587
42,22.443007
16,20.017809
13,23.548218
20,21.655893
15,18.755417
50,23.362328
75,24.386473
17,23.837828
11,23.837828
16,14.693401
20,23.941538
15,23.631878
23,20.360369
74,26.020628
11,20.360369
22,20.360369
30,22.745544
34,25.434334
100,25.182873
11,14.347166
17,21.832262
28,25.182873
46,18.337374
19,25.094784
13,20.69279
11,18.666739
27,23.940058
28,23.940058
28,23.940058
11,19.053043
22,23.40767
30,23.940058
22,20.472748
14,21.51238
21,20.472748
13,21.51238
14,21.51238
12,18.20055
15,21.51238
15,21.51238
24,25.453463
27,21.508978
33,21.872799
100,24.043587
27,21.288963
12,19.008099
12,16.542974
20,19.261177
32,23.837828
20,24.693426
32,25.834774
12,22.826303
12,21.322248
17,22.845627
26,21.965353
28,23.387194
14,25.174171
12,18.905956
18,19.722918
12,19.740736
11,23.8819
12,23.8819
18,19.722918
20,18.35265
17,19.722918
15,19.750341
13,18.777868
20,19.351963
82,27.805769
37,24.386473
26,32.488724
52,24.309557
11,22.425457
20,23.22206
17,23.153957
16,21.932962
21,20.30871
15,22.248247
32,19.886168
40,20.926163
11,20.977816
15,19.001411
47,22.564709
46,22.564709
25,22.539099
21,21.46532
15,18.771513
54,25.167826
30,25.031868
71,24.85758
11,16.990095
57,29.12776
21,19.306505
21,21.752348
11,23.173794
15,19.886168
70,25.682135
18,20.120584
14,19.046465
52,23.056057
31,20.926163
14,17.49307
15,24.1022
14,19.676434
26,18.771513
30,24.13929
15,23.677958
20,22.188787
30,22.188787
30,24.194757
28,22.550652
27,19.385662
11,17.426556
45,25.816572
11,22.425457
29,19.874403
30,21.531351
12,25.844059
40,32.24163
41,26.627968
27,24.847237
13,21.829138
12,18.691717
33,27.937983
14,21.236898
11,18.09702
21,21.46532
33,19.676434
44,24.591963
34,18.90999
100,24.99644
66,24.1022
11,17.195873
20,22.415815
12,17.78038
15,21.333252
12,18.978392
20,20.647839
11,23.040977
13,20.805878
19,21.423399
13,15.290617
13,23.795681
13,23.759752
17,19.068789
12,18.733984
12,24.591963
13,17.87492
13,17.44944
11,23.754257
12,24.194757
13,19.232063
13,18.420784
22,25.816572
40,19.419094
40,25.283665
60,26.274809
41,20.963709
18,20.963709
18,20.963709
19,18.407982
26,23.06625
20,19.711103
26,23.935474
43,24.131489
12,22.738514
73,21.945787
35,25.308773
11,18.128075
55,30.321857
36,23.70675
35,23.418844
43,33.20441
21,26.600573
35,32.22
59,25.885218
37,21.736313
79,31.50496
61,26.615238
12,22.461823
13,23.06625
12,18.562822
